Total unknown suffix patterns: 2748
Modification types in DB: 153
Precision classes in DB: 12

3S\t223\tKR16FXLL/3AS, HMK2218L/3AS, KRV16FLL/3AS, KRV26FLL/3AS, KRV19FLL/3AS
**\t10\tB18Z-1B1C3**, B12-79VVC4**, 63/28DDUJC3**, 60/22DDUC3**, B25-163ZNXC3**
H715311\t10\t4T-H715347/H715311, 4T-H715334/H715311, 4T-H715341A/H715311, H715332/H715311, H715336/H715311
R25\t10\tNKXR25T2Z, NATR25-2RS-X, NATR25LL/3AS, NATR25-2RS, NART25UUX
R62\t10\tKR62, MR62-2Z, KR62PP, NUKR62, NUKR62-X
S30\t10\tNKS30-XL, NKS30, STO30, NAST30ZZ, NAST30
CF12\t10\tCF12-1UU, CFT12-1UUR, CF12-1M, CF12MAB, CF12-1RAB
CRV1VSUP3\t10\t7009CTRV1VSUMP3, 7010CTRV1VSULP3, 7016CTRV1VSULP3, 7906CTRV1VSULP3, 7912CTRV1VSULP3
F600\t10\t6004F600, 6007F600, 6204F600, 6205F600, 6206F600
RV26\t9\tKRV26-2RS-SK, KRV26LL/3AS, KRV26, KRV26PP/EQ, KRV26-SK
U2207\t9\tNU2207M, NU2207ETVP, NU2207, NU2207EW, NU2207EG15
R22\t9\tRNA22/6XLL/3AS, RNA22/6-2RS, RNA22/6LL/3AS, KR22, KR22-X
G90\t9\tGE90LO, GE90SX, GE90UK-2RS, GE90DO-2RS, GE90DO
R10\t9\tNART10X, NATR10-2RS-X, NATR10LL/3AS, NATR10XLL/3AS, NATR10-2RS
U311\t9\tNU311, U311, NU311ET2XC3, NU311EW, NU311EW/C3
H1616\t9\tHK1616, HK1616LL/3AS, HK1616B, HK1616-B, HK1616-2RS
U1\t9\t6310U1, 6007U1, 6301U1, 6302U1, 6303U1
G10\t9\tGE110DO, GE110DO-2RS, GE110LO, GE110UK-2RS, GE110FO-2RS
S1\t9\tNAST12ZZ, SA1-35B, 6300-B-2DRS-L278-SNZ1, E5016XNNTS1, HK3024-2RSAS1
R26\t9\tKR26, KR26PP/EQ, KR26-B-SK, KR26PP, KR26-X
U204\t9\tM-UEL204D1, NU204M, NU204EG15, NU204ECP, UEL204
