Total unknown suffix patterns: 2748
Modification types in DB: 153
Precision classes in DB: 12

3S\t223\tKR16FXLL/3AS, HMK2218L/3AS, KRV16FLL/3AS, KRV26FLL/3AS, KRV19FLL/3AS
H215249\t3\t4T-HM215249/HM215210, HM215249/HM215210
H215210\t3\t4T-HM215249/HM215210, HM215249/HM215210
RV16FD0H\t3\tKRV16FLLD0H/L588, KRV16FXLLD0H/L588, KRV16FXD0H/L588
RV16F\t3\tKRV16FLL/3AS, KRV16F/3AS, KRV16FXLL/3AS
F6700\t3\tF6700ZZ, F6700-2Z, F6700-2RS
F6701\t3\tF6701ZZ, F6701-2RS, F6701-2Z
F685\t3\tF685ZZ, F685-2Z
F106\t3\tMF106ZZ, MF106-2Z
F117\t3\tMF117ZZ, MF117-2Z
F148\t3\tMF148ZZ, MF148-2RS, MF148-2Z
HSGRCG\t3\t6005BHTSZZGRCG350°, 6212BHTSZZGRCG350°, 6213BHTSZZGRCG350°
RV19FD0H\t3\tKRV19FXLLD0H/L588, KRV19FXD0H/L588, KRV19FD0H/L588
U2216\t3\tNU2216M, NU2216, NU2216M/C3
UP204\t3\tNUP204M, NUP204EG15, NUP204ETN
H903249\t3\t4T-HM903249/HM903210, HM903249/2/210/2/Q, HM903249/HM903210
R26FH\t3\tKR26FH, KR26FXH, KR26FLLH/3AS
U399\t3\tU399-90010, U399/U360L, U399-90014
S6206\t3\tS6206-2RS
S6201\t3\tS6201-2RS
S6203\t3\tS6203-2RS, S6203-2RS/15.875
I5904\t3\tNKIB5904, NKIB5904-XL, NKIA5904
S183011\t3\tSL183011-A-XL-C3, SL183011-A-XL, SL183011
G01\t3\tB15-86AT1XDDG3*W-G01, GE101ZO-2RS, B15-70AT1XGRDDG6-G01
R205\t3\tLR205-2RSR, RNAB205, RNAB205X
F697\t3\tF697ZZ, F697, F697-2Z
SR74\t3\tSMR74, SMR74-2Z
CF6\t3\tCF6UU, CF6UUA, CF6A
CF6VR\t3\tCF6VUUR, CF6VRA, CF6VUURA
R50R\t3\tNART50UUR, NART50R
R6916\t3\tRNA6916, 1R6X9X16
GS39G\t3\t40BGS39G-2DL, 40BGS39G, 40BGS39G-2DLCS
SW02\t3\t12BSW02-A-1, 15BSW02, 13BSW02-A-
H07\t3\t2AH07-11/4V1, 2AH07-11/8D1, 2AH07-11/8
H204010\t3\t4T-HM204049/HM204010, HM204043/HM204010, HM204049/HM204010
H1216\t3\tHK1216LL/3AS, HK1216-2RS, HK1216
H1814\t3\tHK1814L/3AS, HK1814-RS
H2526\t3\tHK2526
H4016\t3\tHK4016LL/3AS, HK4016-2RS, HK4016
H4516\t3\tHK4516
H4518\t3\tHK4518L/3AS, HK4518-RS
H4060\t3\tKH4060, KH4060PP
H5070\t3\tKH5070LL/3AS, KH5070PP, KH5070
S02\t3\tAB40204S02, NJ12078S02, AB40282S02
RFY\t3\t22310RKW33C3FY, 22308RKFY, 22234RKW33FY
S6200\t3\tS6200-2RS, S6200ZZ
5C01\t3\tZA-40BWD06D-JB-5CA01, ZA-40BWD06A-JB-5CA01, ZA-42BWD06A-JB-5CA01
G38\t3\tGE38ZO, GE38ZO-2RS
H2306\t3\tHC32306JR, H2306
S6202\t3\tS6202-2RS
H1312\t3\tHK1312
I5901\t3\tNKIB5901-XL, NKIB5901, NKIA5901
H715341\t3\t4T-H715341A/H715311, H715341/H715311
H2311\t3\tH2311X, H2311, AHX2311
U1016\t3\tNU1016, NU1016M, NU1016M/C3
U1024\t3\tNU1024, NU1024M, NU1024M/C3
U220\t3\tNU220, NU220ETN, NU220EW
U2208\t3\tNU2208, NU2208C3, NU2208ETN/EQ
U2211\t3\tNU2211, NU2211ETN
U2214\t3\tNU2214, NU2214C3, NU2214ETN
U2310\t3\tNU2310ET, NU2310ETN, NU2310EW
UP214\t3\tNUP214EW, NUP214ET, NUP214ETN
U219\t3\tNU219, NU219EM/C3, NU219ETN
R202\t3\tNKXR20T2, ESR202B, RNAB202
V30\t3\tNATV30-2RS, NATV30-2RS-X, NATV30
UR2562\t3\tNUTR2562-X, NUTR2562
UR3072\t3\tNUTR3072, NUTR3072-X
UR50110\t3\tNUTR50110-X, NUTR50110
RV47\t3\tKRV47/3AS, KRV47LL/3AS, KRV47XLL/3AS
R22FH\t3\tKR22FXLLH/3AS, KR22FLLH/3AS, KR22FH
R35H\t3\tKR35LLH/3AS, KR35XH, KR35H
U01\t3\tM-UC201D1, UC201, UC201D1
R4910\t3\tRNA4910LL/3AS, RNA4910, RNA4910-2RS
V40\t3\tNATV40XLL/3AS, NATV40-2RS, NATV40-2RS-X
H2524\t3\tHK2524-2RS, HK2524
SCD\t3\t5203SCLLD/2AS, 5204SCLLD/2AS, 5207SCLLD/2AS
H1614\t3\tHK1614L/3AS, HK1614-RS, HK1614
V35\t3\tNATV35XLL/3AS, NATV35LL/3AS, NATV35-2RS
H1520\t3\tHMK1520, HK1520-2RS
H205\t3\tH205
HH224310\t3\tHH224335/HH224310, HH224346/HH224310
H2\t3\tK38X46X32HZB2, K25X33X25AHZB2, K30X44X26HZB2
F9\t3\tF9-20M, F9-20G
H4018\t3\tHK4018L/3AS, HK4018-RS
H212010\t3\t4T-HM212049/HM212010, 4T-HM212047/HM212010, HM212049/HM212010
H88542\t3\t4T-HM88542/HM88510, HM88542/10, HM88542/HM88510
H720249\t3\tJHM720249/JHM720210, 4T-JHM720249/JHM720210
H720210\t3\tJHM720249/JHM720210, 4T-JHM720249/JHM720210
R26C\t3\tKR26C, KR26CLL/3AS, KR26XCLL/3AS
R2201\t3\tRNA2201LL/3AS, RNA2201-2RS, RNA2201-2RS-X
S1730\t3\tAS1730
S3047\t3\tAS3047
S5578\t3\tAS5578
H0408\t3\tHK0408
H0608\t3\tHK0608
FH\t3\tK15X20X13FH, K42X47X27FH, K21X25X17FH
H6020\t3\tHK6020
S6005\t3\tS6005-2RS, S6005-2Z
U2220\t3\tNU2220ET, NU2220EG15, NU2220ETN
S6000\t3\tS6000-2RS, S6000ZZ
UP2216\t3\tNUP2216EW, NUP2216ETN, NUP2216EW/C3
U2219\t3\tNU2219ET, NU2219ETN, NU2219EW
IS17\t3\tNKIS17
H307\t3\tH307
H316\t3\tH316
F8\t3\tLMF8UU, F8-16G, F8-16
U317\t3\tNU317EW, NU317ETN/C3, NU317ETN
U2204\t3\tNU2204M, NU2204EW, NU2204ETN
S12\t3\tNAST12, STO12, STO12-2Z
D219\t3\t40BD219, 35BD219, 30BD219
IR384330\t3\tIR384330, IR38X43X30
S6004\t3\tS6004-2RSR-HLC, S6004-2RS
H88610\t3\tHM88649/HM88610, HM88648/HM88610, EQ-HM88649/HM88610
H88547\t3\tHM88547/HM88510, HM88547/10
H807046\t3\tHM807046/HM807010, HM807046/10, 4T-HM807046/HM807010
F627\t3\tF627-2Z, F627-2RS, F627
R16FD0H\t3\tKR16FXLLD0H/L588, KR16FLLD0H/L588, KR16FXD0H/L588
R4904\t3\tRNA4904LL/3AS, RNA4904, RNA4904-2RS
F608\t3\tF608-2Z, F608, F608-2RS
F6800\t3\tF6800-2Z, F6800-2RS, SS-F6800-2Z
GW2113\t3\tGW211PP3, GW211PPB3
F6901\t3\tF6901-2RS, F6901, F6901-2Z
R5206\t3\tLR5206KDDU, LR5206-2HRS-TVH-XL, LR5206-2RS
R6906\t3\tRNA6906, RNA6906-2RS
US209\t3\tUS209-26G2, US209-27G2, US209G2
C206\t3\tCES206-18, CES206-19, CEX206-18
CU06\t3\tCUC206, CUC206-18, CUC206-20
CU09\t3\tCUC209, CUC209-26, CUC209-27
2F\t3\tYAR203-2F, YAR211-2F, YAR214-2F
U2212\t3\tNU2212, NU2212ETN
U318\t3\tNU318C3, UEL318, NU318EW
CF6V\t3\tCF6V, CF6VA, CF6VUUA
UR20\t3\tNURT20X, NURT20-1R, NURT20-1X
CFS4V\t3\tCFS4VA, CFS4VM-A, CFS4V
CF12R\t3\tCFT12R, CF12RAB, CF12UURAB
IR172020\t3\tIR172020, IR17X20X20,5, IR17X20X20
S210\t3\tAS210, AS210-30, AS210-31
IS25\t3\tNKIS25-XL, NKIS25
H807044\t2\t4T-HM807044/HM807010, HM807044/HM807010
R6903\t2\tRNA6903
R4911\t2\tRNA4911
R605\t2\tLR605-2RSR-HLC, LR605-2RS
PP1415\t2\tPAP1415, PAP1415-P10
PP1618\t2\tPAP1618, PAP1618-P10
PP2220\t2\tPAP2220, PAP2220-P10
P020\t2\tPAP4020, PAP5020
S688\t2\tS688-2RS, S688ZZ
SR188\t2\tSR188ZZ, SR188-2Z
S6800\t2\tS6800ZZ, S6800-2RS
S68\t2\tS682ZZ, S682XZZ
U2316\t2\tNU2316M/C3, NU2316ETN
***\t2\t6206NR*C3**, 60/32NR*C3**
UP2209\t2\tNUP2209ET, NUP2209ETN
H715334\t2\tH715334/11, 4T-H715334/H715311
RV19F\t2\tKRV19FLL/3AS, KRV19F/3AS
F104\t2\tMF104ZZ, MF104-2Z
W6\t2\t688-2RSW6, 688ZZW6
FR156\t2\tFR156ZZ, FR156-2Z
FR168\t2\tFR168ZZ, FR168-2Z
R133\t2\tR133ZZ, R133-2Z
R155\t2\tR155ZZ, R155-2Z
R156\t2\tR156ZZ, R156-2Z
R166\t2\tR166ZZ, R166-2Z
F74\t2\tMF74ZZ, MF74-2Z
F95\t2\tMF95ZZ, MF95-2Z
R12C\t2\tNATR12CLLT/3AS, NATR12CT
RV26FH\t2\tKRV26FXH/3AS, KRV26FH/3AS
H3024\t2\tH3024, AHX3024
U221\t2\tNU2211M, NU221
UCF30\t2\tNUCF30-2RAB, NUCF30-2AB
H813846\t2\t4T-HM813846/HM813810, HM813846/HM81#01
R26F\t2\tKR26F, KR26FLL/3AS
RV90H\t2\tKRV90XLLH/3AS, KRV90H/3AS
R2210\t2\tRNA2210LL/3AS, RNA2210XLL/3AS
R4826\t2\tRNA4826
S0414\t2\tAS0414
CVUS\t2\tMLE71903CVUJ74S, MLE7005CVUJ74S
S626\t2\tS626ZZ, S626-2RS
U322\t2\tNU322, NU322EM/C3
RV26H\t2\tKRV26H/3AS, KRV26XLLH/3AS
S04H100\t2\tN12680S04H100, N12649S04H100
S2850\t2\tST2850A/L45410, ST2850/L454Z
3SH\t2\tSC04B19CS30PX1/3ASQHK, SC04B19CS34PX1/3ASQHK
R202816\t2\tBR202816, MR202816
S6304\t2\tS6304-2RS
S045008\t2\tSL045008-PP, SL045008PP
R6901\t2\tRNA6901
G32\t2\tGE32LO
F4049\t2\tJF4049/JF4010, JF4049-99403
H903245\t2\tHM903245/HM903210, HM903245/HM90#09
H905843\t2\tHM905843/HM905810, 4T-HM905843/HM905810
H905810\t2\tHM905843/HM905810, 4T-HM905843/HM905810
S045012\t2\tSL045012-PP, SL045012PP
RP25\t2\tRPNA25/42-XL, RPNA25/42
I5902\t2\tNKIB5902-XL, NKIB5902
R5207\t2\tLR5207-2Z-TVH-XL, LR5207KDDU
CCG1\t2\tB10-50T12DDNCXCG1-01, B10-46T12DDNCXCG1-01
P35\t2\tPNA35/55-XL, PNA35/55
S014924\t2\tSL014924-A, SL014924
S045011\t2\tSL045011-PP, SL045011PP
S182204\t2\tSL182204, SL182204-A-XL
S182210\t2\tSL182210-A-XL, SL182210
S182912\t2\tSL182912-B-XL, SL182912
S185006\t2\tSL185006-A, SL185006
U228\t2\tNU228, NU228/C3
R41\t2\tMR41X-2ZVA, R41Z-17
R168\t2\tR168-2ZVA, R168-2Z
CS202\t2\tCS202LLU
R5306\t2\tLR5306-2HRS-TVH-XL, LR5306KDDU
R5307\t2\tLR5307-2Z-TVH-XL, LR5307KDDU
W5\t2\t695ZZW5, 689W5
R6904\t2\tRNA6904
R209\t2\tLR209-2RS, LR209-X-2RS
P15\t2\tPNA15/32-XL, PNA15/32
CF20\t2\tCF20UU, CF20-1VUURAB
IR101413\t2\tIR101413, IR10X14X13
IR202420\t2\tIR202420, IR20X24X20
IR202517\t2\tIR202517, IR20X25X17
IR253030\t2\tIR253030, IR25X30X30
IR253032\t2\tIR253032, IR25X30X32
IR455025\t2\tIR455025, IR45X50X25
IR455035\t2\tIR455035, IR45X50X35
R12R\t2\tNART12UUR, NART12R
R15R\t2\tNART15UUR, NART15R
R17R\t2\tNART17UUR, NART17R
R20R\t2\tNART20R, NART20UUR
R25R\t2\tNART25UUR, NART25R
R45R\t2\tNART45UUR, NART45R
R6R\t2\tNART6UUR, NART6R
R8R\t2\tNART8R, NART8UUR
S15R\t2\tNAST15ZZR, NAST15R
S30R\t2\tNAST30ZZR, NAST30R
R6911\t2\tRNA6911
R6913\t2\tRNA6913
D3872W\t2\tDAC3872W-10CS42, DAC3872W-8CS81
I1\t2\t32KB02/I1B, NKXI12Z
FC045\t2\tT7FC045
2DS\t2\t30BG05S5G-2DS-JCS, 40BGS11G-2DS
CS\t2\t30BG05S5G-2DS-JCS, CSK30PPC3
2D\t2\t40BGS39G-2DL, 6300-B-2DRS-L278-SNZ1
D21912CG\t2\t30BD219T12DDULXCG-02, 30BD219T12DDULXCG-03
D4512C1\t2\t40BD45T12DDUCG21, 32BD45T12DDUCG21
W**\t2\tB17-114DDWAXC4**, B17-126DDWC3E**
H05\t2\t1AH05-7/8, 203-XL-KRR-AH05
H204049\t2\t4T-HM204049/HM204010, HM204049/HM204010
H804840\t2\t4T-HM804840/HM804810, HM804840/HM804810
FC055\t2\t4T-T7FC055EW, T7FC055
H2230\t2\t7E-HMK2230, HMK2230
H2830\t2\t8Q-HMK2830/8A, HMK2830
H1514\t2\tHK1514L/3AS, HK1514L
H2220C\t2\tHK2220C, HMK2220C/8A
H3518\t2\tHK3518L/3AS, HK3518-RS
H5024\t2\tHK5024LL/3AS, HK5024-2RS
H1825\t2\tHMK1825
H2015\t2\tHMK2015
H2225\t2\tHMK2225
H2525\t2\tHMK2525
V2\t2\tK40X45X21V2, KBK9X12X11.7V2
S55\t2\tNKS55
UR203\t2\tNUTR203/3AS, NUTR203X/3AS
UR207\t2\tNUTR207/3AS, NUTR207X/3AS
UR208\t2\tNUTR208/3AS, NUTR208X/3AS
UR303\t2\tNUTR303/3AS, NUTR303X/3AS
UR307\t2\tNUTR307/3AS, NUTR307X/3AS
UR308\t2\tNUTR308/3AS, NUTR308X/3AS
CS20\t2\tSX0344LLUCS20/L417, CSK20PPC3
S3\t2\tTS3-6304LLBA2/58C3/LX03Q16, LMS3
RS12\t2\tRMS12
C120\t2\t4T-T4CB120, T4CB120
D4072W\t2\tDAC4072W-3CS35, DAC4072W-10CS74
F93\t2\tMF93
SC0597CS35P1\t2\tSC05A97CS35PX1/2A, SC05A97CS35PX1/2AS
W20\t2\tAXW20
SC206\t2\tSCO206-30, SCO206-25
SC207\t2\tSCO207-35, SCO207-30
SC209\t2\tSCO209-45, SCO209-40
SC211\t2\tSCO211-55, SCO211-50
R4918\t2\tRNA4918, RNA4918UU
SU001\t2\tSU001
S20R\t2\tNAST20ZZR, NAST20R
IS30\t2\tNKIS30
P12\t2\tPNA12/28-XL, PNA12/28
UC16\t2\tUCX16, UCX16D1
G5220\t2\t35BG5220-2DLCS, 30BG5220-2DSECS26
H2307\t2\tHC32307JR, H2307
H2214\t2\tHK2214-RS-L271, HK2214-RS
H813842\t2\tHM813842-99401, HM813842/HM813810
R5205U\t2\tLR5205NPPU
S6204\t2\tS6204-2RS
P12049\t2\tJP12049A-90N01, JP12049A/JP12010
S37\t2\tNKS37
FR144\t2\tFR144-2Z
G31\t2\tGE31ZO, GE31ZO-2RS
G57\t2\tGE57ZO-2RS
G63\t2\tGE63ZO-2RS
RP20\t2\tRPNA20/35-XL, RPNA20/35
S183007\t2\tSL183007-A-XL, SL183007
CF18VR\t2\tCF18VUUR, CF18VUURAB
S17R\t2\tNAST17ZZR, NAST17R
S35R\t2\tNAST35ZZR, NAST35R
RP30\t2\tRPNA30/47-XL, RPNA30/47
H2518\t2\tHK2518L/3AS, HK2518-RS
S60\t2\tNKS60, S602X
U330\t2\tNU330, NU330/C3
U2320\t2\tNU2320, NU2320C3
U2215\t2\tNU2215, NU2215EM
U226\t2\tNU226, NU226EM/C3
UP2307\t2\tNUP2307ETN, NUP2307ET
H1215\t2\tHMK1215
H1414\t2\tHK1414L/3AS, HK1414L/5S
S32\t2\tNKS32
32R\t2\tRNA49/32R, RNA69/32R
R4924\t2\tRNA4924
C+1R71016\t2\tNK10/16CT+1R7X10X16, 8E-NK10/16CT+1R7X10X16
WS81104\t2\tWS81104
WS81105\t2\tWS81105
WS81106\t2\tWS81106
WS81107\t2\tWS81107
WS81109\t2\tWS81109
WS81110\t2\tWS81110
WS81111\t2\tWS81111
WS81112\t2\tWS81112
WS81114\t2\tWS81114
GS81102\t2\tGS81102
GS81104\t2\tGS81104
GS81105\t2\tGS81105
GS81106\t2\tGS81106
GS81108\t2\tGS81108
GS81109\t2\tGS81109
R2202\t2\tRNA2202-2RS, RNA2202-2RS-X
UR1542\t2\tNUTR1542-X, NUTR1542
UR1747\t2\tNUTR1747, NUTR1747-X
UR2052\t2\tNUTR2052, NUTR2052-X
UR3580\t2\tNUTR3580, NUTR3580-X
UR4090\t2\tNUTR4090, NUTR4090-X
UR45100\t2\tNUTR45100, NUTR45100-X
1VR\t2\tCF10-1VUUR, CF20-1VUURAB
RV80\t2\tKRV80LL/3AS, KRV80XLL/3AS
5S\t2\tHK1414L/5S, HK1416LL/5S
H5022\t2\tHK5022L/3AS, HK5022-RS
R47H\t2\tNUKR47XH/3AS, KR47H
R2204\t2\tRNA2204XLL/3AS, RNA2204LL/3AS
R2208\t2\tRNA2208LL/3AS, RNA2208XLL/3AS
U20\t2\tUC320D1, UC320G2
F308\t2\tNF308
42D06\t2\tZA-/HO/42BWD06-JB-01, ZA-42BWD06A-JB-5CA01
H804846\t2\t4T-HM804846/HM804810, EQ-HM804846/HM804810
H1725C\t2\t7E-HMK1725CT/8A, 7E-HMK1725CT
5C\t2\t2TS2-DF0863LLACS56/5C, 6203LLUNR/15,875/5C
H715343\t2\tH715343/H715311, 4T-H715343/H715311
RP28\t2\tRPNA28/44-XL, RPNA28/44
S045005\t2\tSL045005, SL045005PP
H218210\t2\tHM218238/HM218210, HM218248/HM218210
WS81212\t2\tWS81212
UR305\t2\tNUTR305X/3AS, NUTR305/3AS
UR306\t2\tNUTR306X/3AS, NUTR306/3AS
FR6\t2\tFR6ZZ, FR6-2Z
P25\t2\tPNA25/47-XL, PNA25/47
P30\t2\tPNA30/52-XL, PNA30/52
H89448\t2\t4T-HM89448/HM89410, HM89448/HM89410
H4030\t2\tHMK4030
H1510\t2\tHMK1510
H1820\t2\tHMK1820
H25\t2\tHMK3025
H3525\t2\tHMK3525
H4530\t2\tHMK4530
R4090\t2\tZARN4090P5, ZARN4090
HH224335\t2\tHH224335/HH224310
FIV1\t2\tK15X19X20FKIV1
HD\t2\tK21X25X13HD, K21X25X15HD
U1005\t2\tNU1005-XL-M1, NU1005M
H2025\t2\tHMK2025
H807045\t2\tJHM807045/JHM807012, 4T-JHM807045/JHM807012
H807012\t2\tJHM807045/JHM807012, 4T-JHM807045/JHM807012
S22\t2\tNKS22
R4922\t2\tRNA4922
R203\t2\tRNAB203, RNAB203X
S0619\t2\tAS0619
S1528\t2\tAS1528
S4060\t2\tAS4060
S6085\t2\tAS6085
S80105\t2\tAS80105
S90120\t2\tAS90120
FCS\t2\tFCS-35, FCS-6
H4512\t2\tHK4512
FS\t2\tRCB-081214-FS, RCB-121616-FS
R4920\t2\tRNA4920
U1044\t2\tNU1044M, NU1044
H804848\t2\t4T-HM804848/HM804810, HM804848/HM804810
IR202516\t2\tIR202516, IR20X25X16
R35R\t2\tNART35UUR, NART35R
S8R\t2\tNAST8R, NAST8ZZR
CF8VR\t2\tCFE18VUUR, CF8VRA
RP2\t2\t205KRP2
R19FD0H\t2\tKR19FXD0H/L588, KR19FXLLD0H/L588
U309R\t2\tNU309RC3, NU309R
U1030\t2\tNU1030M, NU1030/C3
F684\t2\tF684ZZ, F684-2Z
R5002U\t2\tLR5002NPPU
P925485\t2\tNP925485-902A1, NP925485-99402
G5222\t2\t35BG5222-2DLCS21, 30BG5222-2DSECS20
CS30\t2\t83A693CS30MG, 83A694CS30
R2052\t2\tZARN2052-TV-A, ZARN2052
S045014\t2\tSL045014-PP-2NR, SL045014PP
UC05\t2\tUCX05D1, UCX05
S183010\t2\tSL183010-A-XL, SL183010
R3062\t2\tZARN3062-TV-A, ZARN3062
RG3\t2\tL68149RGB3/110RGB, LM603049RG3/011RG
D6224\t2\t35BD6224-A-T12DDUC01, 35BD6224
R5204\t2\tLR5204-2HRS-TVH-XL, LR5204-2Z-TVH-XL
R604U\t2\tLR604NPPU
R606U\t2\tLR606NPPU
H207\t2\tH207
H216\t2\tH216
H2308\t2\tH2308
H2309\t2\tH2309
H306\t2\tH306
H310\t2\tH310
H312\t2\tH312
U2312\t2\tNU2312, NU2312/C3
U2213W\t2\tNU2213WC3, NU2213W
SV1VSUP3\t2\t60BNR10STV1VSUELP3, 55BNR10STV1VSUELP3
H3132\t2\tH3132
RP18\t2\tRPNA18/32-XL, RPNA18/32
H18\t2\tHK3018L/3AS, HK3018-RS
R4049\t2\t1R40X49,5X18
S50\t2\tNAST50, NAST50ZZ
UP2214\t2\tNUP2214EW, NUP2214ETN
H414245\t2\tH414245X/10, H414245/H414210
IR303517\t2\tIR303517, IR30X35X17
IR354040\t2\tIR354040, IR35X40X40
R5200U\t2\tLR5200NPPU
IR252920\t2\tIR252920, IR25X29X20
UR15\t2\tNURT15-1R, NURT15X
P35D48201\t2\tEP35BD4820T1XDDUM-01, EP35BD4820T1XDDUM-01MA8L5
CF4\t2\tCF4UU, CF4UUA
I5909\t2\tNKIA5909, NKIB5909
F3\t2\tF3-8G, F3-8M
SSUP3\t2\t80BNR10STSULP3, 40BNR19STSUELP3
H807049\t2\tHM807049/HM807010, HM807049-1E/10E
W7049\t2\tJW7049/JW7010, JW7049-90NB9
S182206\t2\tSL182206-A-XL, SL182206
S6205\t2\tS6205-2RS
S045009\t2\tSL045009-PP, SL045009PP
FR188\t2\tFR188-2Z
011RG\t2\tLM603049RG3/011RG, LM603049RG/011RG
U1028\t2\tNU1028/C3, NU1028M
U1034\t2\tNU1034, NU1034/C3
U2230\t2\tNU2230, NU2230/C3
U332\t2\tNU332/C3, NU332M
U1009\t2\tNU1009, NU1009M
U1013\t2\tNU1013, NU1013M
5U\t2\tLR50/5NPPU
H804843\t2\tHM804843/HM804810, HM804843/10
CS25\t2\tCSK25PPC3, CSK25-2RSC3
S045017\t2\tSL045017-D-PP-2NR, SL045017PP
R6910\t2\tRNA6910
H0808\t2\tHK0808
SR63\t2\tSMR63, SMR63ZZ
201*01\t2\t6005-H-20T1XBDDU*M01, 6204-H-20T1XADDU*M01
RR3\t2\t202KRR3, 203KRR3
W2113\t2\tW211PP3, W211PPB3
F6801\t2\tF6801-2RS, F6801-2Z
GW20817\t2\tGW208PP17, GW208PPB17
GW2104\t2\tGW210PP4, GW210PPB4
GW2112\t2\tGW211PP2, GW211PPB2
W2102\t2\tW210PP2, W210PPB2
W2112\t2\tW211PP2, W211PPB2
RR6\t2\t206KRR6, 206KRRB6
F6803\t2\tF6803-2RS, F6803-2Z
F6804\t2\tF6804-2Z, F6804-2RS
F63800\t2\tF63800-2Z, F63800-2RS
F699\t2\tF699, F699-2Z
R5000U\t2\tLR5000NPPU
R5203U\t2\tLR5203NPPU
R5204U\t2\tLR5204NPPU
FR50\t2\tLFR50/5KDD, LFR50/8KDD
FR5201\t2\tLFR5201KDD, LFR5201-20KDD
F63801\t2\tF63801-2RS, F63801-2Z
F6702\t2\tF6702-2RS, F6702-2Z
F6802\t2\tF6802-2RS, F6802-2Z
F6805\t2\tF6805-2RS, F6805-2Z
F6806\t2\tF6806-2RS, F6806-2Z
F6903\t2\tF6903-2RS, F6903-2Z
F6904\t2\tF6904-2RS, F6904-2Z
F6905\t2\tF6905-2RS, F6905-2Z
F6906\t2\tF6906-2RS, F6906-2Z
H0306\t2\tHK0306, HK0306TN
H0609\t2\tHK0609
H1412\t2\tHK1412
H1622\t2\tHK1622
H2538\t2\tHK2538
H5520\t2\tHK5520
RP15\t2\tRPNA15/28, RPNA15/28-XL
PWR1747\t2\tPWTR1747-2RS-XL, PWTR1747-2RS
UP205\t2\tNUP205EG15, NUP205ETN
U224\t2\tNU224EG15, NU224ETN
U2306\t2\tNU2306EG15, NU2306EW
F800\t2\t22310EF800, 22313EF800
H2319\t2\tH2319
H3140\t2\tH3140
US205\t2\tUS205-16G2, US205G2
US206\t2\tUS206-20G2, US206G2
US208\t2\tUS208-24G2, US208G2
US210\t2\tUS210-30G2, US210G2
U17\t2\tUC317G2, UC217
U22\t2\tUC322G2, NU221M
SC210\t2\tSCO210-45, SCO210-50
SC212\t2\tSCO212-55, SCO212-60
SC213\t2\tSCO213-60, SCO213-65
SU05\t2\tSUC205-16, SUC205
C204\t2\tCES204-12, CEX204-12
C205\t2\tCES205, CEX205
C207\t2\tCES207-23, CEX207-23
GH25\t2\tGEH25ES-2RS
RIS203\t2\tRIS203
RIS204\t2\tRIS204
RIS205\t2\tRIS205
UP2218\t2\tNUP2218, NUP2218EM
CR10\t2\tCR10, CR10-1
CF6R\t2\tCF6R, CF6RA
CF8\t2\tCF8, CF8A
UR17\t2\tNURT17X, NURT17-1R
R6902\t2\tRNA6902
R6909\t2\tRNA6909
R4914\t2\tRNA4914
R4928\t2\tRNA4928
R4828\t2\tRNA4828
UCF24\t2\tNUCF24AB, NUCF24-1RAB
CF5\t2\tCF5A, CF5UUA
CF12V\t2\tCF12VUUAB, CF12VAB
CF16R\t2\tCF16UURAB, CF16RAB
H212047\t2\t4T-HM212047/HM212010, HM212047/HM212011
S6003\t2\tS6003-2RS
CF20R\t2\tCF20RAB, CF20UURAB
IR505535\t2\tIR505535, IR50X55X35
IR505822\t2\tIR505822, IR50X58X22
IR101312.5\t2\tIR101312.5, IR10X13X12.5
IR506025\t2\tIR506025, IR50X60X25
IR455025.5\t2\tIR455025.5, IR45X50X25.5
I8060\t2\tIR708060, IR70X80X60
IR758530\t2\tIR758530, IR75X85X30
H2322\t2\tH2322
S4565\t2\tAS4565
IR404530\t2\tIR40X45X30
IR253020\t2\tIR25X30X20, IR25X30X20,5
IR33720\t2\tIR32X37X20
I5906\t2\tNKIB5906-XL, NKIA5906
IS20\t2\tNKIS20
R206\t2\tLR206-2RS, C-AELR206A
R208\t2\tLR208-X-2RS, RNAB208
VU990\t2\tL44643/610/VU990, LM12749/711/VU990
RU2213\t2\tRNU2213ETN, RNU2213M
D5222\t2\t30BD5222, 35BD5222
U18\t2\tUC218
U2307\t2\tNU2307EW, NU2307ETN
UP2208\t2\tNUP2208ETN, NUP2208EW
H218248\t2\tHM218248/HM218210, HM218248/10
U217\t2\tUEL217, NU217ETN
H212749\t2\tH212749/H212710, 4T-H212749/H212710
H212710\t2\tH212749/H212710, 4T-H212749/H212710
U2218\t2\tNU2218EM/C3, NU2218EM
I5907\t2\tNKIA5907, NKIB5907
I5908\t2\tNKIA5908, NKIB5908
I5910\t2\tNKIA5910, NKIB5910
I5905\t2\tNKIB5905, NKIA5905
U1012\t2\tNU1012M, NU1012M/C3
U2313\t2\tNU2313ETN, NU2313EW
IS40\t2\tNKIS40
CH\t2\tCH-6211-2RS/C3-HT-40/160, CH-6000-2RS
U2224\t2\tNU2224EW, NU2224EM
S624\t2\tS624-2RS
PWR52\t2\tPWKR52-2RS, PWKR52-2RS-XL
H414210\t2\tH414245/H414210, H414249/H414210
U319\t2\tNU319ETN, NU319
+U\t2\t53306+U, 53308+U
U4928\t2\tNNU4928B/SPW33C3, NNU4928BK/SPW33C3
CS40\t2\tCSK40PP
GR\t2\tEX209AGR, B17-116T1XDDGCMR
